"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-136",-0.367414695399475,7.62735263008264,-3.08598251973222,0.00226535368606277,0.00629511489267229,-2.7791423926214
"hsa-miR-361",-0.177344122065872,8.87358829017769,-3.08467283130313,0.00227496726319345,0.00629511489267229,-2.78303270485993
"hsa-miR-30e-5p",-0.227267128526419,8.46884057597934,-3.03935288176262,0.00263172487298141,0.00718389762624655,-2.91671061395072
"hsa-miR-23a",0.239074403990477,10.2776768987893,2.98578457093217,0.00311944995055181,0.00834501499975331,-3.07235369819307
"hsa-miR-138",-0.242347888211165,6.56873118891736,-2.98373022045361,0.00313970861376857,0.00834501499975331,-3.07827149219111
"hsa-miR-320",0.223155549009366,10.3796481846281,2.92244053651233,0.00380250612220248,0.00997540567123249,-3.25308118108599
"hsa-miR-15a",-0.240194630116074,9.4574543772686,-2.90396150844245,0.00402611191580176,0.0104265975255379,-3.3051239964799
"hsa-miR-27a",0.226050420673657,10.2622394587025,2.83963792265802,0.00490133599223615,0.0125325300054646,-3.4838763311245
"hsa-miR-17-5p",-0.224281600333528,8.75917484456612,-2.83268095291416,0.00500570498802209,0.0126351322027366,-3.50298519634186
"hsa-miR-191*",0.104213849160884,6.02721225186777,2.82868499878002,0.00506656291297855,0.0126351322027366,-3.51394114731786
"hsa-miR-335",-0.272355548677257,7.6795193494876,-2.80887282597225,0.00537835756117922,0.0132491247238805,-3.56804756576104
"hsa-miR-329",-0.105967932744098,6.0722240976281,-2.77152991376958,0.00601384822070342,0.0146361125371336,-3.66906098918073
"hsa-miR-153",-0.0590687065922806,5.82680898923141,-2.74468153634442,0.00651200725645547,0.0156598269738572,-3.74090258965251
"hsa-miR-367",0.0432548062645965,5.97383219337603,2.71196386794759,0.00716939542164759,0.0170378573549743,-3.82756104018544
"hsa-miR-18b",-0.0668469201548163,6.20986873795868,-2.70451187641068,0.0073272659463726,0.0172105548972938,-3.84716228277003
"hsa-miR-106b",-0.243265520835898,10.597514109343,-2.67628952318365,0.00795400087056231,0.0184679100672826,-3.9209362253024
"hsa-miR-24",0.155709334793547,11.6685169798678,2.61011933001478,0.00961679676135348,0.0220749198385614,-4.09104459117946
